last_author,subject,keywords,journal-title,publisher-name,article-title,first_author,contrib,aff,year
Zhiping,,,Cancer Cell International,BioMed Central,"A ribosomal RNA fragment with 2',3'-cyclic phosphate and GTP-binding activity acts as RIG-I ligand",Jiaze                    Yu,9,,2020
Tringe                    Susannah Green,        Host-Microbe Biology       ,,mSphere,R Foundation for Statistical Computing,rworldmap: a new R package for mapping global data,Odogwu,12,U.S. Department of Energy Joint Genome Institute,2011
Almstedt                    Hawley C.,,,BMC Musculoskeletal Disorders,National Academy Press,Dietary protein and bone health: a systematic review and meta-analysis from the National Osteoporosis Foundation,Shoepe,5,,2017
Lee                    Delphine J.,,,Scientific Reports,Nature Publishing Group,KEGG: Kyoto Encyclopedia of Genes and Genomes,Chan                    Alfred A.,9,,2000
Alman                    Benjamin A.,"        Orthopedic Management of Fractures (S Bukata and L Gerstenfeld, Section Editors)       ",,Current Osteoporosis Reports,Thieme,Results of the use of platelet rich plasma in the treatment of delayed union of long bones,Baht                    Gurpreet S.,3,,2014
Gonzalez,        AcademicSubjects/SCI00960       ,,Translational Animal Science,AMSA,Lipid stability and meat colour of beef from pasture- and grain-fed cattle with or without vitamin E supplement,Phelps                    Kelsey J,5,,2002
Zhang                    Ni,,,Cell Communication and Signaling : CCS,BioMed Central,Novel targeted therapies in the treatment of gastric and esophageal cancer,He,4,,2005
Hølge-Hazelton                    Bibi,,,Journal of Patient Experience,Sage,The third wave of science studies: studies of expertice and experience,Thomsen                    Thora Grothe,2,,2002
Chen,,,Cell Death & Disease,Nature Publishing Group UK,The chromatin regulator Brg1 suppresses formation of intraductal papillary mucinous neoplasm and pancreatic ductal adenocarcinoma,Wang                    Pan,13,,2014
Tung                    Shong,,,Scientific Reports,Nature Publishing Group UK,A pilot study on the validity and reliability of the patient enablement instrument (PEI) in a Chinese population,Wong                    Wendy,6,,2010
Wang                    Hua,        Case Report       ,,Molecular Cytogenetics,BioMed Central,Chromosome studies in 1792 males prior to intra-cytoplasmic sperm injection: the Dutch experience,He                    Si,9,"The prenatal diagnosis center of Hunan Province, The Maternal and Child Health Hospital of Hunan Province, 53 Xiangchun Road, Kaifu District, Changsha City, Hunan Province China",1998
Chang                    Yung-Fu,          Zoonotic Diseases         ,,PLoS ONE,Rijksinstituut voor Integraal Zoetwaterbeheer en Afvalwaterbehandeling,What do negative associations between potential risk factors and illness in analytical epidemiological studies of infectious disease really mean?,Mughini Gras                    Lapo,10,,2004
Wang                    Lei,,,Journal of Negative Results in Biomedicine,BioMed Central,Association between SLC11A1 (formerly NRAMP1) and the risk of sarcoidosis in Poland,Lee                    Pauline L,4,,2005
Kwon                    Young-Guen,,,BMB Reports,Korean Society for Biochemistry and Molecular Biology,GATA4 negatively regulates bone sialoprotein expression in osteoblasts,Choi                    Hyun-Jung,4,,2016
Buttke                    Danielle,,,One Health,Taylor & Francis,The neuroscience of memory: implications for the courtroom,Cherry                    Cara,4,,2012
Singer                    Peter A,,,Health Research Policy and Systems,BioMed Central,"Technology Information, Forecasting & Assessment Council",Acharya                    Tara,5,,2001
Zhang                    Dongying,,,Aging (Albany NY),Impact Journals,Clinical implications of SARS-CoV-2 interaction with renin angiotensin system: JACC review topic of the week.,Cheng                    Xiaocheng,9,,2020
Liao                    Yanhui,,,Frontiers in Psychiatry,Springer,Danger in danger: interpersonal violence during COVID-19 quarantine,Wang                    Yunfei,13,,2020
Wang                    Qi,,,Oncology Letters,D.A. Spandidos,Decreased miR-124-3p expression prompted breast cancer cell progression mainly by targeting Beclin-1,Yang                    Huaicheng,4,"Department of General Surgery, The First Affiliated Hospital of Anhui University of Science and Technology, Huainan, Anhui 232007, P.R. China",2016
Strazzabosco                    Mario,,,Oncotarget,Impact Journals LLC,Broad targeting of resistance to apoptosis in cancer,Morton                    Stuart Duncan,12,,2015
Rossaint,,,Critical Care,American College of Surgeons,Surviving Sepsis Campaign: association between performance metrics and outcomes in a 7.5-year study,Spahn                    Donat R.,13,,2014
Schoeman                    Mark N.,,,Endoscopy International Open,© Georg Thieme Verlag KG,Inhaled methoxyflurane (Penthrox) sedation for third molar extraction: a comparison to nitrous oxide sedation,Nguyen                    Nam Q.,9,,2011
Qeadan,        Original Investigation       ,,Journal of the Medical Library Association : JMLA,The Network,Beyond burnout: a physician wellness hierarchy designed to prioritize interventions at the systems level.,Casucci,4,,2019
Frampton                    Garrett M.,,,Genome Medicine,BioMed Central,Aberrant PD-L1 expression through 3′-UTR disruption in multiple cancers,Chalmers                    Zachary R.,24,,2016
Shi                    Guoyou,,,Oncology Letters,D.A. Spandidos,MicroRNA regulation of innate immune responses in epithelial cells,Chen                    Li,8,,2011
Duah-Quashie                    Nancy Odurowah,,,Scientific Reports,World Health Organization,DNA sequence polymorphism analysis using DnaSP,Matrevi                    Sena Adzoa,14,,2009
Mao                    Hongju,        Review       ,,Biosensors,MDPI,A lung/liver-on-a-chip platform for acute and chronic toxicity studies,Li,4,,2018
Sullins                    Carolyn,,,BMC Emergency Medicine,Boca Raton: Chapman and Hall/CRC,Assessment of advanced life support competence when combining different test methods–reliability and validity,Magura                    Stephen,7,,2008
Vollenweider                    Franz X.,         Pharmacology        ,,Proceedings of the National Academy of Sciences of the United States of America,Beltz Test Gesellschaft,Psychometric evaluation of the altered states of consciousness rating scale (OAV),Preller,6,,2019
Ch Toi,,,SA Journal of Radiology,AOSIS,"Breast lesions: Evaluation with shear wave elastography, with special emphasis on the ‘stiff rim’ sign",Sravani,7,,2014
Wang                    Dun-wei,,,Scientific Reports,Nature Publishing Group UK,Management of medullary thyroid carcinoma and MEN2 syndromes in childhood,Zhao                    Zhuang,5,,2011
Li                    Hongyan,,,World Journal of Surgical Oncology,BioMed Central,"Palliative segmental duodenectomy for bleeding, erosive endometrial cancer",Zhao                    Hongzhi,7,,2005
Davies                    Peter SW,        Study protocol       ,,BMC Public Health,Boston: New England Medical Centre and PEDI Research Group,Botulinum toxin type A in the management of equinus in children with cerebral palsy: an evidence-based economic evaluation,Bell                    Kristie L,6,,2001
He,,,Microbiology Spectrum,American Society for Microbiology,A mouse model of Zika virus pathogenesis,Wang                    Yu-Na,14,Changchun Veterinary Research Institute,2016
Pećina-Šlaus                    Nives,        Basic Science       ,,Croatian Medical Journal,Croatian Medical Schools,"Expression, purification, and therapeutic implications of recombinant sFRP1.",Kafka                    Anja,7,,2015
Rosen                    Bruce Robert,        Translational Therapeutics       ,,British Journal of Cancer,Nature Publishing Group,Stratifying triple-negative breast cancer prognosis using 18F-FDG-PET/CT imaging,Catalano                    Onofrio Antonio,14,,2015
Molina-Pérez                    Carlos José,,,Journal of Nephrology,Springer International Publishing,Pregnancy outcomes in women with chronic kidney disease: a systematic review,Leaños-Miranda                    Alfredo,6,,2011
Jeon                    Byeong Hwa,,,Biomedicines,MDPI,The Metabolic Signature of Macriphage Responses,Nikiforov                    Nikita G.,9,,2019
Zagury                    Jean-François,,,Scientific Reports,Nature Publishing Group,Active immunization against IL-23p19 improves experimental arthritis,Desallais                    Lucille,9,,2011
Chaisson,        Method       ,,Genome Biology,BioMed Central,Segmental duplications and copy-number variation in the human genome,Yang                    Jianzhi,2,,2005
Dent                    Paul,,,Frontiers in Oncology,Frontiers Media S.A.,[Pemetrexed + Sorafenib] Lethality is Increased by Inhibition of ERBB1/2/3-PI3K-Nfκb Compensatory Survival Signaling,Booth                    Laurence,5,,2016
Cooney                    Austin John,             Embryonic Stem Cells            ,,PLoS ONE,Public Library of Science,Coexpression of P2X2 and P2X3 receptor subunits can account for ATP-gated currents in sensory neurons,Kim                    Yi Young,8,,1995
Ratcliffe                    Julie,,,Health and Quality of Life Outcomes,Intech Open Science,Hospital Variation in Patient-Reported Outcomes at the Level of EQ-5D Dimensions: Evidence from England,Banham                    David,4,,2013
Yu                    Rui,,,BMC Cancer,BioMed Central,NF-kappaB is involved in the regulation of EMT genes in breast Cancer cells,Fu,5,,2017
Toda,,,Nature Communications,Nature Publishing Group UK,Comparison of speech audiometry test-words among various languages,Tamura,17,,1966
Zhong                    Guoqiang,,,International Journal of General Medicine,Dove,FoxO transcription factors promote autophagy in cardiomyocytes,Chao,6,,2009
Kiamarz Milani                    Amir,,,World Journal of Plastic Surgery,PMPH-USA,The role of distraction osteogenesis in mandibular reconstruction,Gholami                    Mahdi,3,,2007
Martinuzzi                    Andrea,          Qualitative Studies         ,,PLoS ONE,Zone Books,Towards a new definition of health?,Van de Velde,5,,2013
Keijer                    Jaap,,,Frontiers in Physiology,Frontiers Media S.A.,The impact of hypoxia on intestinal epithelial cell functions: consequences for invasion by bacterial pathogens,JanssenDuijghuijsen                    Lonneke M.,10,,2016
Grossberg                    Stephen,,,Frontiers in Human Neuroscience,Pergamon Press,Illusory contours and cortical neuron responses,Grossberg                    Stephen,1,,1984
Hill                    D A,,,Oncogene,Nature Publishing Group,Biallelic DICER1 mutations in sporadic pleuropulmonary blastoma,Pugh                    T J,22,,2014
Pirmohamed                    Munir,        1723       ,,BMJ Open,Ministry of Health Uganda,Adverse Drug Reaction Onsets in Uganda's VigiBase,Kiguba,12,,2018
Yu                    Luoting,,,The Breast : Official Journal of the European Society of Mastology,Elsevier,"Tailored axillary surgery with or without axillary lymph node dissection followed by radiotherapy in patients with clinically node-positive breast cancer (TAXIS): study protocol for a multicenter, randomized phase-III trial",Gou                    Zongchao,4,,2018
Mont                    Michael A,,,BMC Musculoskeletal Disorders,BioMed Central,The effect of femoral head diameter upon lubrication and wear of metal-on-metal total hip replacements,Marker                    David R,5,,2001
Agoulnik                    Irina,          Gastrointestinal Surgery         ,,PLoS ONE,Public Library of Science,Laying out pathways with Rgraphviz.,Udelnow                    Andrej,11,"Florida International University, United States of America",1997
Lin                    Mau-Roung,,,American Journal of Men's Health,World Health Organization,The multidimensional scale of perceived social support,Bass                    Paul,3,,1988
Partanen                    Jukka,,,Frontiers in Immunology,Frontiers Media S.A.,Genetic disease risks can be misestimated across global populations,Ritari                    Jarmo,12,,2018
Elkon                    Keith B.,,,The Journal of Experimental Medicine,The Rockefeller University Press,Complement deposits in epidermal cells after ultraviolet B exposure,Mevorach                    Dror,4,"From the Hospital for Special Surgery, Cornell University Medical College, New York 10021",1993
Davis,,,Stem Cell Research & Therapy,BioMed Central,Murine hepatitis virus strain 1 produces a clinically relevant model of severe acute respiratory syndrome in A/J mice,Vaka                    Ramana,8,,2006
Aulchenko                    Yurii S.,          Population Genetics         ,,PLoS ONE,Public Library of Science,Analysing biological pathways in genome-wide association studies.,Wei                    Wenhua,19,"Institute of Cytology & Genetics SD RAS, Russian Federation",2010
Loutradis                    Dimitrios,        Obstetrics/Gynecology       ,,Cureus,Springer,"Past, present, and future of gonadotropin use in controlled ovarian stimulation during assisted reproductive techniques",Muacevic                    Alexander,10,,2021
Rasgon                    Jason L.,           Enterobacteriaceae          ,,PLoS Neglected Tropical Diseases,Public Library of Science,,Audsley                    Michelle D.,4,,2016
Zhou                    Zhuqing,,,Biological Procedures Online,BioMed Central,Overexpression of NELFE contributes to gastric cancer progression via Wnt/beta-catenin signaling-mediated activation of CSNK2B expression,Wu                    Qiong,3,,2021
Richard                    Yolande,            Flow Cytometry           ,,PLoS ONE,Public Library of Science,Tissue-resident macrophage enhancer landscapes are shaped by the local microenvironment,Bruggeman,12,,2014
Joergensen                    Maiken Thyregod,,,Clinical Genetics,Blackwell Publishing Ltd,Rare‐variant collapsing analyses for complex traits: guidelines and applications,Tan                    Ming,7,,2019
Toyoshima                    Kumiko,,,Frontiers in Psychology,MIT Press,"Music, the food of neuroscience?",Fukui                    Hajime,2,,2005
Gu                    Jiang,,,Scientific Reports,Nature Publishing Group UK,Trimmomatic: a flexible trimmer for Illumina sequence data,Li                    Penghao,15,,2014
Cejudo                    Javier,,,International Journal of Environmental Research and Public Health,Wiley,"The constructive, deconstructive and reconstructive power of social norms",Bailey                    Rebecca,11,,2007
Kubicek                    Stefan,,,Nature genetics,,Transcript assembly and quantification by RNA-Seq reveals unannotated transcripts and isoform switching during cell differentiation,Sdelci                    Sara,37,,2010
Selvaraj                    Vimal,           Immunostaining          ,,PLoS ONE,Wiley,Conjoint propagation and differentiation of human embryonic stem cells to cardiomyocytes in a defined microcarrier spinner culture,Badenes                    Sara M.,9,,2014
Sánchez                    Lizet,,,International Journal of Health Policy and Management,McGraw-Hill/Interamericana,Using and reporting the Delphi method for selecting healthcare quality indicators: a systematic review,Saumell                    Yaimarelis,4,,2011
Jirsa,,,Environmental Science and Pollution Research International,Academic Press,"Hydrogeochemistry of Lake Turkana, Kenya: mass balance and mineral reactions in an alkaline lake",Plessl                    Christof,5,,1983
Bostian                    A. J.,,,Scientific Reports,Nature Publishing Group UK,Exploring the false discovery rate in multichannel NIRS,Walsh                    B.,6,,2006
Cutler                    Daniel F.,,,Developmental Cell,Cell Press,High-affinity binding of the AP-1 adaptor complex to trans-Golgi network membranes devoid of mannose 6-phosphate receptors,Lopes-da-Silva                    Mafalda,6,,1999
Tian,,,Scientific Reports,Nature Publishing Group UK,"A randomized, controlled trial of corticosteroids in the treatment of acute optic neuritis. The Optic Neuritis Study Group",Feng,9,,1992
Lawal.                    Ismaheel,        Systematic Review and Meta-Analysis       ,,Medicine,Wolters Kluwer Health,Efficacy of early application of rhbnp after emergency pci in acute myocardial infarction treatment: a meta-analysis,Ning                    Cheng,6,,2016
Feng                    Ye,,,BMC Nephrology,BioMed Central,The chemokine receptors CCR2 and CX3CR1 mediate monocyte/macrophage trafficking in kidney ischemia–reperfusion injury,Chen                    Zhi,4,,2008
Koberna                    Karel,,,Open Biology,"John Wiley and Sons, Inc",Pharmacology of 5-aza-2′-deoxycytidine (decitabine),Ligasová                    Anna,8,,2005
Batra                    Surinder K.,          Eye Infections         ,,PLoS ONE,Public Library of Science,Demonstration of the mucous layer of the tear film by electron microscopy,Gipson                    Ilene K.,5,,1985
An,,,Journal of Dental Anesthesia and Pain Medicine,Springer,The effect of factors dental treatment fear of dental hygiene and non-dental hygiene students,Won,3,,2011
Caetano-Anollés,,,Evolutionary Bioinformatics Online,SAGE Publications,Epidemic influenza and vitamin D,Burra                    Prakruthi,6,,2006
Uversky                    Vladimir N.,,,Biomolecules,MDPI,Interleukin-1β and barrier function of retinal pigment epithelial cells (ARPE-19): Aberrant expression of junctional complex molecules,Suárez-Barrio,10,,2003
Hellzén                    Ove,,,International Journal of Qualitative Studies on Health and Well-being,Routledge,A discourse-dynamic approach to the study of subjectivity in health psychology,Enarsson                    Per,3,,2000
Chen                    Yingyao,,,BMC Health Services Research,Jiangsu: Science Technology Document Press,Melting public-private boundaries in European health systems,Huang                    Jiayan,3,,2003
Lievens                    Tomas,,,Human Resources for Health,BioMed Central,Motivation and retention of health workers in developing countries: a systematic review,Hou                    Xiaohui,11,,2008
Siems                    Werner,,,Antioxidants,Springer International Publishing,Zinc and the modulation of nrf2 in human neuroblastoma cells,Mónico,7,"Department of Structural and Chemical Biology, Centro de Investigaciones Biológicas Margarita Salas (CSIC), 28040 Madrid, Spain;",2020
Wilder-Smith                    Petra,        Current Trends       ,,Bioinformation,"Cancer facts and  ﬁgures In: American Cancer Society Report, (2000) pp 1",Toward multimodality oral cancer diagnosis in the XXI century: Blending cutting edge imaging and genomic/proteomic definition of suspicious lesions,Le                    Anh,4,,2005
Mayo                    Willy,,,NeuroImage : Clinical,Elsevier,Localisation of pre- and postsynaptic cholinergic markers in the human brain,Mazere                    Joachim,7,,2011
Lopes                    Ulisses G.,,,Scientific Reports,Nature Publishing Group UK,Disruption of the fusion of Leishmania parasitophorous vacuoles with ER vesicles results in the control of the infection,Dias-Teixeira                    Karina Luiza,14,,2012
Hernández-Rivas                    Jesús-María,,,BMC Cancer,BioMed Central,Significance of heat-shock protein (HSP) 90 expression in acute myeloid leukemia cells,Rodríguez-Vicente                    Ana E,17,,2008
Burton                    Paul,        Original Contributions       ,,Obesity Surgery,Springer US,Esophageal motility disorders in terms of pressure topography: the Chicago classification,Lim                    Gillian,8,,2008
Fan                    Jiapeng,,,Evidence-based Complementary and Alternative Medicine : eCAM,Zhengzhou University,Two waves of transcriptomic changes in periovulatory human granulosa cells,Yuan                    Xiao,7,,2020
Kobusingye                    Olive C.,,,Journal of Public Health in Africa,Oxford University Press,Emergency Medical Services,Hsia                    Renee Y.,6,,2006
Bhak,,,Scientific Reports,Nature Publishing Group UK,The Database of Genomic Variants: a curated collection of structural variation in the human genome,Kim                    Jungeun,19,,2014
Wang                    Junbo,,,Molecular Medicine Reports,D.A. Spandidos,Silibinin encapsulation in polymersome: A promising anticancer nanoparticle for inducing apoptosis and decreasing the expression level of miR-125b/miR-182 in human breast cancer cells,Wang                    Youhu,3,,2019
Turner                    Alice M,,,Faculty Reviews,Faculty Opinions Ltd,Carbamazepine in Severe Liver Disease Due to Alpha-1 Antitrypsin Deficiency [Clinical Trial] Clinicaltrials.,Santos                    Gabriela,2,,2019
Raj                    Ashish,        AcademicSubjects/SCI01870       ,,Brain Communications,Oxford University Press,Predicting regional neurodegeneration from the healthy brain functional connectome,Maia,7,,2012
Tandon,         Novel Tools and Methods        ,,eNeuro,McGraw Hill Education,Quantitative signal characteristics of electrocorticography and stereoelectroencephalography: the effect of contact depth,McCarty,5,,2019
Qian                    Jun,,,Journal of Cellular and Molecular Medicine,IARC Press,U2AF1 mutations alter splice site recognition in hematological malignancies,Zhou                    Jing‐dong,11,,2015
Jansson                    Janet K.,"""        Editors Pick       """,,mSystems,WHO,Statistical total correlation spectroscopy: an exploratory approach for latent biomarker identification from metabolic 1H NMR data sets,Penney,11,Pacific Northwest National Laboratory,2005
Gong                    Shaoqin,,,Nature nanotechnology,Springer,Cas-analyzer: an online tool for assessing genome editing results using NGS data.,Chen                    Guojun,10,,2017
Bazarganipour                    Fatemeh,         Endocrinology and Metabolism        ,,International Journal of Fertility & Sterility,Royan Institute,Effects of clomiphene citrate on the endometrium of regularly cycling women,Foroozanfard                    Fatemeh,4,,2000
West                    Keith P.,"         Genomics, Proteomics, and Metabolomics        ",,The Journal of Nutrition,Elsevier Academic Press,"The human plasma proteome: history, character, and diagnostic prospects",Cole                    Robert N.,13,,2002
Karl                    Mike O.,           Membrane Receptor Signaling          ,,PLoS ONE,Public Library of Science,Selective glycogen synthase kinase 3 inhibitors potentiate insulin activation of glucose transport and utilization in vitro and in vivo.,Ruffner                    Heinz,30,"Center for Regenerative Therapies, Germany",2003
Sasaki                    Kohsuke,,,BMC Cancer,BioMed Central,HER2 targeted therapy in breast cancer...beyond Herceptin,Tsuji                    Katumi,10,,2007
Ursino                    Mauro,,,Brain Sciences,MDPI,Beyond variability: Subjective timing and the neurophysiology of motor cognition,Drapała,3,,2018
Fan                    Shanhui,,,Nature Communications,Nature Publishing Group UK,Optimization of multilayer optical films with a memetic algorithm and mixed integer programming,Li,4,,2018
Tara,,,BMC Medical Informatics and Decision Making,BioMed Central,Nurses' attitudes toward the use of an electronic health information system in a developing country,Ebnehoseini,4,,2019
Xuan,,,Journal of Oncology,Hindawi,The autophagy sensor ITPR1 protects renal carcinoma cells from NK-mediated killing,Yu,4,"Department of Spine Surgery, Foshan Hospital of Traditional Chinese Medicine, Foshan 528000, Guangdong, China",2015
Yoneda                    Atsuko,        Review       ,,Journal of Histochemistry and Cytochemistry,International Agency for Research on Cancer,Rho-associated coiled-coil-forming kinases (ROCKs): potential targets for the treatment of atherosclerosis and vascular disease,Morgan-Fisher                    Marie,3,"Laboratory of Genome and Biosignals, Tokyo University of Pharmacy and Life Sciences, Hachioji-city, Tokyo, Japan (AY)",2011
Lunga                    Maxime,,,Health and Human Rights,STP and USAID,"“Lessons from Africa: Developing a global human rights framework for tuberculosis control and prevention,”",Citro                    Brian,8,"Chairman of Club des Amis Damien, a member of the Stop TB Partnership Community Delegation, and a tuberculosis survivor, Democratic Republic of the Congo.",2021
Ali                    Ghaffar,          Environmental Health         ,,PLoS ONE,Public Library of Science,Acceptance letter,Savin,8,,2018
Fratzl,        Applied Sciences and Engineering       ,,Science Advances,American Association for the Advancement of Science,The contribution of the pericanalicular matrix to mineral content in human osteonal bone,Moreno-Jiménez,9,,2019
Davuluri                    Ramana V,,,BMC Genomics,BioMed Central,Genome-wide location and function of DNA binding proteins,Singer                    Gregory AC,6,,2000
Shi                    Jiahai,,,Cell Death Discovery,Nature Publishing Group UK,p38 MAPK-mediated regulation of Xbp1s is crucial for glucose homeostasis,Yuan                    Jun,9,,2011
Bartram                    Jamie,,,International Journal of Environmental Research and Public Health,World Health Organization,An observational study on the effectiveness of point-of-use chlorination,Onda                    Kyle,3,"The Water Institute, Gillings School of Global Public Health, University of North Carolina at Chapel Hill, 135 Dauer Drive, CB #7431, Chapel Hill, NC 27599, USA; Email:",2009
Chen                    Jianjun,,,Scientific Reports,Nature Publishing Group,The Conserved Domain Database (CDD),Zhong                    Zilin,8,,2015
Jung                    Il Young,,,BMC Medical Education,Berrett-Koehler,Insisting on the healer's art: the implications of required participation in a medical school course on values and humanism,Lee                    Jihyun,3,,2016
Chen,,,BioMed Research International,Hindawi Publishing Corporation,CAVER 3.0: a tool for the analysis of transport pathways in dynamic protein structures,Hung                    Tzu-Chieh,7,,2012
Poliakoff                    Ellen,,,Cortex; a Journal Devoted to the Study of the Nervous System and Behavior,Psychological Corporation,Geriatric Depression Scale (GDS) Recent evidence and development of a shorter version,Humphries                    Stacey,5,,1970
,,,medRxiv,FDA website,Clinical Validity of Serum Antibodies to SARS-CoV-2 : A Case-Control Study,Li                    Maggie,35,,2020
Siriwardena                    A. Niroshan,,,BMC Medical Research Methodology,Sage Publications,Why is patient safety so hard? A selective review of ethnographic studies,Johnson,9,,2010
Jian                    Xiqi,,,Frontiers in Neuroscience,Frontiers Media S.A.,"Parkinson’s disease in China: prevalence in Beijing, Xian, and Shanghai Dkgest of the World.",Zhang                    Yanqiu,5,,2005
Chen                    Hao,,,Frontiers in Genetics,Frontiers Media S.A.,Identification of a 5-Gene metabolic signature for predicting prognosis based on an integrated analysis of tumor microenvironment in lung adenocarcinoma.,Bai                    Yuping,9,,2020
Montgomery                    Anthony M.P.,,,The Journal of Cell Biology,The Rockefeller University Press,A human brain glycoprotein related to the mouse cell adhesion molecule L1,Silletti                    Steve,4,,1988
Rusling                    James F.,,,"Sensors (Basel, Switzerland)",Benchmark Press,Counterpoint to “Infrared cameras overestimate skin temperature during rewarming from cold exposure”,MacRae,6,,2020
Feng,,,Regenerative Biomaterials,Oxford University Press,Effect of ionic products of dicalcium silicate coating on osteoblast differentiation and collagen production via TGF-1 pathway,Yang                    Xing,6,,2013
Longo                    Francesco,,,"Sensors (Basel, Switzerland)",Springer,IoT Based Street Lighting Using Dual Axis Solar Tracker and Effective Traffic Management System Using Deep Learning: Bangladesh Context,Lilhore,9,,2020
Teramura                    Yuji,,,Seminars in Immunology,Lippincott Williams & Wilkins,Preclinical biocompatibility assessment of the EVAHEART ventricular assist device: coating comparison and platelet activation,Ekdahl                    Kristina N.,4,,2007
WANG                    ZHOU,,,Experimental and Therapeutic Medicine,D.A. Spandidos,Efficient inhibition of human telomerase reverse transcriptase expression by RNA interference sensitizes cancer cells to ionizing radiation and chemotherapy,FAN                    XIANG-KUI,6,,2005
Berdahl                    John P.,        Case Series       ,,Advances in Therapy,Springer Healthcare Communications,The effects of phacoemulsification on intraocular pressure and topical medication use in patients with glaucoma: a systematic review and meta-analysis of 3-year data,Dorairaj                    Syril K.,9,,2017
Rodrigues                    Danieli C.,,,Clinical and Experimental Dental Research,Springer science business media,Clinical performance of screw‐ versus cement‐retained fixed implant‐supported reconstructions‐‐a systematic review,Rodriguez                    Lucas C.,6,,2014
Haynes                    BF,        Poster Presentation       ,,Retrovirology,BioMed Central,P04-01. Simultaneous enumeration of HIV-1 gp41 Env-specific IgG and IgM antibody-secreting cells with a multiplex B-cell fluorospot assay,Bonsignori                    M,5,,2009
Meyer                    Tim,        Molecular Diagnostics       ,,British Journal of Cancer,Nature Publishing Group,One hundred years after ‘carcinoid': epidemiology of and prognostic factors for neuroendocrine tumors in 35 825 cases in the United States,Childs                    Alexa,10,,2008
Larremore                    Daniel B.,          Genetic Networks         ,,PLoS Biology,Public Library of Science,Patterns of gene recombination shape var gene repertoires in,Pilosof,7,,2007
Revel-Vilk                    Shoshana,,,International Journal of Molecular Sciences,Springer,Measuring opsonic phagocytosis via Fcgamma receptors and complement receptors on macrophages,Serfecz                    Jacquelyn C.,9,,2011
Moretti                    Kim,,,"Radiation Oncology (London, England)",Elsevier,A new risk classification system for therapeutic decision making with intermediate-risk prostate cancer patients undergoing dose-escalated external-beam radiation therapy,Raymond                    Elspeth,12,,2013
Chong                    Ka Chun,         Network Analysis        ,,PLoS ONE,Public Library of Science,Contribution of asymptomatic and pre-symptomatic cases of COVID-19 in spreading virus and targeted control strategies.,Wu                    Haocheng,7,,2020
Bennell                    Kim,        Original Paper       ,,Journal of Medical Internet Research,National Institute for Health and Care Excellence,Determinants of engagement in face-to-face and online patient support groups,Eysenbach                    Gunther,20,,2011
Gomaa                    Madiha,,,International Journal of Dentistry,Hindawi Publishing Corporation,Monoblocks in root canals: a hypothetical or a tangible goal,Ghulman                    Motaz Ahmad,2,,2007
Tchounwou                    Paul B.,        Review       ,,International Journal of Environmental Research and Public Health,Springer,"Community-Based comprehensive measures to prevent severe fever with thrombocytopenia syndrome, China",Yokomizo                    Kanako,6,,2018
Nakagawa                    Keiichi,        Quality Improvement       ,,Cureus,Springer,Dynamic histogram warping of image pairs for contrast image brightness,Muacevic                    Alexander,10,,1995
Konop                    Marek,,,Pharmaceutics,MDPI,Antimicrobial Properties of Mesenchymal Stem Cells: Therapeutic Potential for Cystic Fibrosis Infection and Treatment,Ceresa                    Chiara,9,,2016
Luan                    Yihui,,,BMC Bioinformatics,Birkhäuser,Propagation of electrical activity: nonlinear associations and time delays between eeg signals,Zhang                    Fang,3,,1993
Basavarajappa                    Balapal S.,        Review       ,,Brain Sciences,MDPI,Anesthetic-related neurotoxicity in young children: An update,Creeley                    Catherine E.,2,"Department of Psychology, State University of New York at Fredonia, Fredonia, NY 14063, USA;",2013
Zhu                    Dehua,,,Journal of Cancer,Pac Symp Biocomput,Cell-cycle responses to DNA damage in G2,Wang                    Kewei,4,,2003
Waszczykowska                    Elżbieta,,,Archives of Medical Science : AMS,Termedia Publishing House,Association between a stromal cell-derived factor 1 (SDF-1/CXCL12) gene polymorphism and microvascular disease in systemic sclerosis,Dziankowska-Bartkowiak                    Bożena,3,"Department of Immunodermatology, Medical University of Lodz, Poland",2009
Torgasheva                    Liudmila,,,Demographic research,UN Population Division,"Alcohol and cause-specific mortality in Russia: A retrospective case-control study of 48,557 adult deaths",Duthé                    Géraldine,9,,2009b
Moazzami                    Bahram,,,"Microrna (Shariqah, United Arab Emirates)",Bentham Science Publishers,ZEB1 sensitizes lung adenocarcinoma to metastasis suppression by PI3K antagonism.,Sheikhvatan                    Mehrdad,3,,2014
Lee                    Jong-Hwan,,,International Journal of Molecular Sciences,Molecular Diversity Preservation International (MDPI),Routine identification of proteins from sodium dodecyl sulfate-polyacrylamide gel electrophoresis (SDS-APGE) gels or polyvinyl difluoride membranes using matrix assiated laser desorption/ionization time of flight-mass spectrometry (MALDI-TOF-MS),Moon                    Kyoung Mi,9,,1998
Arndt                    Peter F.,,,Scientific Reports,Nature Publishing Group,Power-law distributions in empirical data,Sheinman                    Michael,4,,1996
Schlünssen                    Vivi,,,"Journal of Occupational Medicine and Toxicology (London, England)",BioMed Central,Evaluation of multiple-flows exhaled nitric oxide in idiopathic and non-idiopathic interstitial lung disease,Oțelea                    Marina Ruxandra,12,,2019
Martínez-Zorzano                    Vicenta Soledad,,,Scientific Reports,Nature Publishing Group,Comparing the areas under two or more correlated receiver operating characteristic curves: a nonparametric approach,Otero-Estévez                    Olalla,8,,1988
