article_type,last_author,keywords,journal-title,ISSN,publisher-name,subject,article-title,first_author,contrib,aff,year,funding,institution,award,PMCID,tokenized_METHODS,country
research-article,Coleman                 William B.,,PLoS ONE,1932-6203,Public Library of Science,Research Article,"miRNA-218 Inhibits Osteosarcoma Cell Migration and Invasion by Down-regulating of TIAM1, MMP2 and MMP9",Hu                    Jun,9,,2013,The authors received no specific funding for this work.,,,PMC4431740, ,
systematic-review,Lin                 Yanjuan,,Frontiers in Pediatrics,2296-2360,Frontiers Media S.A.,Systematic Review,Feeding strategies in preterm very low birth-weight infants: state-of-the-science review,Cai                    Meiling,5,,2021,"Science and Technology Projects of Fujian Province, 10.13039/100017357",Science and Technology Projects of Fujian Province,,PMC9301042, ,China
research-article,Ye                 Xiaoli,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,"Blockade of NF-kappaB activity in human prostate cancer cells is associated with suppression of angiogenesis, invasion, and metastasis",Li                    Zhaoxing,12,,2001,"https://doi.org/10.13039/501100002865, Chongqing Science and Technology Commission (Chongqing Science and Technology Commission, Chongqing People&apos;s Municipal Government), cstc2015shmszx80012, cstc2017shms-kjfp80004, Li, Zhaoxing",Chongqing Science and Technology Commission (Chongqing Science and Technology Commission Chongqing People&apos;s Municipal Government),cstc2017shms-kjfp80004,PMC6335419, ,
research-article,Sarkar                 Indra Neil,,PLoS ONE,1932-6203,Public Library of Science,Radiotherapy,Analysis of further disease progression in metastatic non-small cell lung cancer: implications for locoregional treatment,Lussier                    Yves A.,18,,2004,"This work was supported in part by the Ludwig Center for Metastasis Research Grant, the Center for Radiation Therapy, the Chicago Tumor Institute, The Ludwig Foundation for Cancer Research, Mr. and Mrs. Vincent Foglia and the Foglia Foundation, Lung Cancer Research Foundation, the Cancer Research Foundation and the following National Institutes of Health (NIH) Grants: K22 LM008308-04, 5UL1RR024999- 04, University of Chicago Comprehensive Cancer Center (5P30CA014599-35), the University of Illinois Cancer Center, and the University of Illinois Center for Clinical and Translational Science (UL1RR029879). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC3518475, ,
research-article,Zingale                 Lorenza,,The Journal of Allergy and Clinical Immunology,1097-6825,Thomas,Article,Structural and functional aspects of C1-inhibitor,Agostoni                    Angelo,58,,2002,,,,PMC7119155, ,
review-article,Halloran                 Christopher M,,Faculty Reviews,2732-432X,Faculty Opinions Ltd,Review Article,A comprehensive analysis of clinical trials in pancreatic cancer: What is coming down the pike?,Stott                    Martyn C,5,,2020,The authors declare that no grants were involved in supporting this work.,,,PMC9022729, ,
research-article,Greenlee                 Mark W.,,PLoS ONE,1932-6203,Public Library of Science,"Neuroscience/Cognitive Neuroscience, Neuroscience/Motor Systems, Neuroscience/Experimental Psychology",FEF TMS affects visual cortical activity.,van Donkelaar                    Paul,4,"University of Regensburg, Germany",2007,,,,PMC2749336, ,
research-article,Tratrat,,"Drug Design, Development and Therapy",1177-8881,Cambridge University Press,Original Research,Evaluation of PEG and mPEG-co-(PGA-co-PDL) microparticles loaded with sodium diclofenac,SreeHarsha,12,,2013,,Department of Pharmaceutical Sciences College of Clinical Pharmacy King Faisal University,,PMC6938183, ,Saudi Arabia
research-article,Abate                 Chala Amante,,Heliyon,2405-8440,Cengage Learning,Research Article,Does foreign aid contribute to or impeded economic growth?,Abate                    Chala Amante,1,"Lecturer of Economics at Salale University, Ethiopia",2018,,,,PMC9437794, ,
research-article,Yan,,Nature Communications,2041-1723,Nature Publishing Group UK,Article,Decision curve analysis: a novel method for evaluating prediction models,Chen,15,,2006,"the Special Fund for Guangdong Province Public Research and Capacity Building (2014B020215002), the Natural Science Foundation of Guangdong Province (2015A030308006),the Guangzhou Industry University Research Cooperative Innovation Major Project (201704020062), the Clinical Research Startup Program of Southern Medical University by High-level University Construction Funding of Guangdong Provincial Department of Education (LC2016PY010), the Scientific Research Foundation for High-Level Talents in Nanfang Hospital of Southern Medical University (201404280056), the Clinical Research Project of Nanfang Hospital (2018CR034), the President Funding of Nanfang Hospital (2019Z023), and the Training Program for Undergraduate Innovation and Entrepreneurship (201912121008, 202012121091 and 202012121277)",the Special Fund for Guangdong Province Public Research and Capacity Building (2014B020215002) the Natural Science Foundation of Guangdong Province (2015A030308006)the Guangzhou Industry University Research Cooperative Innovation Major Project (201704020062) the Clinical Research Startup Program of Southern Medical University by High-level University Construction Funding of Guangdong Provincial Department of Education (LC2016PY010) the Scientific Research Foundation for High-Level Talents in Nanfang Hospital of Southern Medical University (201404280056) the Clinical Research Project of Nanfang Hospital (2018CR034) the President Funding of Nanfang Hospital (2019Z023) and the Training Program for Undergraduate Innovation and Entrepreneurship (201912121008 202012121091 and 202012121277),81773117,PMC7794254, ,
review-article,Cheon,,Journal of Clinical Medicine,2077-0383,American Association of Endodontists,Review,Biomimetic microenvironments for regenerative endodontics,Shah                    Dishant,11,,2016,,,,PMC7074340, ,
research-article,Savaskan                 Nic E,,Cancer Medicine,2045-7634,BlackWell Publishing Ltd,Cancer Biology,The treatment of glioblastoma multiforme of the brain,Sehm                    Tina,10,,1967,,Department of Neuroradiology Erlangen University Medical School Friedrich Alexander University Erlangen-Nuremberg (FAU),,PMC4303154, ,
research-article,Wass                 Mark N.,,BMC Genomics,1471-2164,BioMed Central,Research,Toward the understanding of MNEI sweetness from hydration map surfaces,Pappalardo                    Morena,6,,2006,,Randall Division of Cell and Molecular Biophysics King’s College London,,PMC5558184, ,
research-article,Ebrahim                 Esraa Hasan,,Frontiers in Public Health,2296-2565,Apress,Original Research,Opening the black box of AI-Medicine,Bisdas                    Sotirios,21,,2021,,School of Medicine Sabha University,,PMC8739771, ,Libya
research-article,Tsanou                 Berge,,Mathematical Biosciences,1879-3134,Springer,Article,Mathematical modeling and analysis of COVID-19 pandemic in Nigeria,Garba                    Salisu M.,3,,2020,,,,PMC7402282, ,
research-article,Yang                 Zeng‐Quan,,Molecular Oncology,1878-0261,John Wiley and Sons Inc.,Research Articles,Oncogenesis driven by the Ras/Raf pathway requires the SUMO E2 ligase Ubc9,Chu                    Xiaofang,7,,2015,"Foundation for the National Institutes of Health, R21CA175244‐01A1, Office of Research on Women's Health (OWRH), Department of Defense (DoD) Prostate Cancer Program, PC130259, China International Postdoctoral Exchange Fellowship Program",Barbara Ann Karmanos Cancer Institute,PC130259,PMC5623824, ,USA
research-article,Schumacher                 Fredrick,,PLoS Genetics,1553-7404,Public Library of Science,Variant Genotypes,The R package geepack for generalized estimating equations,Dai,12,,2006,"NIH, CA222833, http://orcid.org/0000-0001-6479-9286, Dai, James Y., NIH, CA056678, Stanford, Janet L., NIH, CA092579, Stanford, Janet L., NIH, K05 CA175147, Stanford, Janet L., This work was supported by grants from the National Cancer Institute (R01 CA222833, R01 CA056678, R01 CA092579, K05 CA175147, and P50 CA097186), with additional support provided by the Fred Hutchinson Cancer Research Center (P30 CA015704). Illumina, Inc. provided and performed the methylation arrays. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",NIH,K05 CA175147,PMC7145271, ,
research-article,Lu                 Zhiming,,BMC Neurology,1471-2377,BioMed Central,Research,Identification of dynein heavy chain 7 as an inner arm component of human cilia that is synthesized but not assembled in a case of primary ciliary dyskinesia,Xia                    Pengcheng,6,,2002,"Natural Science Foundation of Shandong, China, 2020SFXGFY03-2",Natural Science Foundation of Shandong China,2020SFXGFY03-2,PMC9150314, ,
research-article,Efird                 Jimmy T.,,Medicina,1648-9144,MDPI,Article,Comparison of triple-negative breast cancer molecular subtyping using RNA from matched fresh-frozen versus formalin-fixed paraffin-embedded tissue,Marcu                    Anca,12,,2017,,,,PMC8069050, ,
research-article,Yang                 Guangzhong,,Frontiers in Chemistry,2296-2646,Shanghai Scientific and Technical Publisher,Original Research,Structural Revision of Guttiferone F and 30-Epi-Cambogin,Teng                    Haida,7,,2021,,,,PMC8576638, ,China
research-article,Haj                 Fawaz G.,,Redox Biology,2213-2317,World Health Organization,Research Paper,DPM-1001 decreased copper levels and ameliorated deficits in a mouse model of Wilson's disease,Hsu                    Ming-Fo,5,,2018,,NIH,,PMC7408361, ,
research-article,Kułakowski                 Piotr,,Archives of Medical Science : AMS,1896-9151,Termedia Publishing House,Clinical Research,Plasma levels of direct oral anticoagulants in real life patients with atrial fibrillation: results observed in four anticoagulation clinics,Piotrowski                    Roman,6,"Postgraduate Medical School, Department of Cardiology, Grochowski Hospital, Warsaw, Poland",2016,,,,PMC7069443, ,
research-article,Mozer-Lisewska                 Iwona,,Central-European Journal of Immunology,1644-4124,Termedia Publishing House,Clinical Immunology,Treatment of hepatitis C virus-associated mixed cryoglobulinemia with direct-acting antiviral agents,Zientarska                    Agata,9,,2016,,,,PMC8808305, ,
research-article,Lam                 Vincent,,Pain Medicine: The Official Journal of the American Academy of Pain Medicine,1526-4637,American Psychiatric Association,Original Research Articles,Comparison of a drug versus money and drug versus drug self-administration choice procedure with oxycodone and morphine in opioid addicts,Guenther                    Sven M,6,,2013,,,,PMC5946936, ,
research-article,Yu                 Xin-Guang,,Frontiers in Neuroscience,1662-453X,Frontiers Media S.A.,Original Research,Synaptic remodeling in mouse motor cortex after spinal cord injury,Xie                    Hui-Min,8,,2021,,Department of Neurosurgery Chinese PLA General Hospital,,PMC9519998, ,China
review-article,Bernstein,,Clinical and Experimental Gastroenterology,1178-7023,Dove,Review,Risk of cancer in cases of suspected lynch syndrome without germline mutation,Therkildsen                    Christina,4,,2013,,Department of Gastroenterology Aalborg Hospital,,PMC8163581, ,Denmark
research-article,Ornitz,,Journal of the Endocrine Society,2472-1972,Oxford University Press,AcademicSubjects/MED00250,FGF21-based pharmacotherapy–potential utility for metabolic disorders,Stone,6,,2014,"National Heart, Lung, and Blood Institute, 10.13039/100000050, HL12002, HL120760, National Institute of Child Health and Human Development, 10.13039/100000071, HD098872, DRC at Washington University, P30 DK020579, National Center for Advancing Translational Sciences, 10.13039/100006108, UL1TR000448, National Institutes of Health, 10.13039/100000002, Children's Discovery Institute, 10.13039/100009340, Saigh Foundation, 10.13039/100001833",Saigh Foundation,UL1TR000448,PMC7653638, ,US
research-article,Yue                 Junming,,PLoS ONE,1932-6203,Public Library of Science,Sports and Exercise Medicine,Gene expression analysis in calcific tendinopathy of the rotator cuff,Leone                    Laura,9,,2011,"This work was partially supported by grants from the Minstero dell’Instruzione, dell’Universita e della Ricerca and from Associazione Italiana per la Ricerca sul Cancro (IG 10272), Italy. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC3506633, ,
research-article,Zhang                 Liaoyuan,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,"& Offeman, R. E. Preparation of graphitic oxide",Otari                    Sachin V.,10,,1958,,Korea University,,PMC5591228, ,
review-article,Marshall                 Caroline B.,,Frontiers in Pharmacology,1663-9812,Cold Spring Harbor Press,Review Article,Angiopoietin-like protein 4 is a potent hyperlipidemia-inducing factor in mice and inhibitor of lipoprotein lipase.,Chugh                    Sumant S.,5,,2002,,Glomerular Disease Therapeutics Laboratory Division of Nephrology University of Alabama at Birmingham,,PMC3933785, ,"Birmingham, AL, USA"
research-article,Shi                 Hua,,Nucleic Acids Research,1362-4962,Oxford University Press,Methods Online,Mfold web server for nucleic acid folding and hybridization prediction,Mallik                    Prabhat K.,4,"Department of Biological Sciences and Institute for RNA Science and Technology, University at Albany, State University of New York, Albany, NY 12222, USA",2003,,,,PMC2853121, ,
research-article,Angeloni                 Cristina,,Current Issues in Molecular Biology,1467-3045,MDPI,Article,Flightless-I governs cell fate by recruiting the SUMO isopeptidase SENP3 to distinct HOX genes,Jeong,3,"Gachon Research Institute of Pharmaceutical Sciences, College of Pharmacy, Gachon University, 191 Hambakmoero, Yeonsu-gu, Incheon 406-799, Korea;",2017,,,,PMC8929146, ,
research-article,Seki,,International Journal of Molecular Sciences,1422-0067,MDPI,Article,Involvement of anti-tumor miR-124-3p and its targets in the pathogenesis of pancreatic ductal adenocarcinoma: Direct regulation of ITGA3 and ITGB1 by miR-124-3p,Shimomura                    Hiroki,11,,2018,,,,PMC7555373, ,
research-article,Ye                 Dingwei,,World Journal of Surgical Oncology,1477-7819,BioMed Central,Research,"Re: Jutta Engel, Patrick J. Bastian, Helmut Baur, et al. Survival benefit of radical prostatectomy in lymph node-positive patients with prostate cancer. Eur Urol 2010;57:754–61",Qin                    Xiaojian,9,,2010,,,,PMC4426650, ,
research-article,Porter                 Sarah E,,BMC Research Notes,1756-0500,"Crows Nest, NSW: Allen& Unwin",Research Article,The effect of health and nutrition education intervention on women’s postpartum beliefs and practices: a randomized controlled trial,Agus                    Yenita,3,,2009,,,,PMC3532090, ,
research-article,Goto                 Masahiro,,Pharmaceutics,1999-4923,Ludwig-Maximilians—University of Munich,Article,Ionic liquid-in-oil microemulsions prepared with biocompatible choline carboxylic acids for improving the transdermal delivery of a sparingly soluble drug,Boscariol                    Rodrigo,8,,2020,,,,PMC8070039, ,
research-article,Miyamoto                 Yoshinori,,Dynamic medicine : DM,1476-5918,Oxford: Butterworth-Heinemann,Research,A quantitative comparison of simultaneous BOLD fMRI and NIRS recordings during functional brain activation,Onozawa                    Akihiko,3,,2002,,,,PMC2265702,"MethodsA double-blind, placebo-controlled, randomized, crossover protocol was used to administer 10 mg of loratadine (a powdered tablet) capsule or placebo (lactose) capsule in 9 volunteer subjects (8 males and 1 female).",
research-article,Xu                 Lin,,Oncotarget,1949-2553,Impact Journals LLC,Research Paper,Sensitization of glioblastoma cells to irradiation by modulating the glucose metabolism,Dong                    Gaochao,9,,2015,,,,PMC5356547, ,
research-article,Koo                 Ja-Won,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,Novel peptide vaccine GV1001 rescues hearing in kanamycin/furosemide-treated mice,Lee                    Sang-Yeon,12,,2018,"Seoul National University Bundang Hospital, 14-2017-003, Koo, Ja-Won",Seoul National University Bundang Hospital,14-2017-003,PMC7596480, ,
chapter-article,Groppe                 Sven,,Leveraging Artificial Intelligence in Global Epidemics,,WHO,Article,Susceptible-infected-recovered (SIR) dynamics of COVID-19 and economic impact,Sardana                    Neetu,5,"University of Lübeck, Lübeck, Germany",2020,,,,PMC8342406, ,
research-article,Karnaukhova                 Elena,,Clinical and Applied Thrombosis/Hemostasis,1938-2723,SAGE Publications,Original Manuscript,Platelets contribution to thrombin generation in philadelphia-negative myeloproliferative neoplasms: the “circulating wound” model,Tarandovskiy,3,,2021,,,,PMC9421059, ,
research-article,Li                 Kangning,,BMC Medical Informatics and Decision Making,1472-6947,BioMed Central,Research,Reliability of the visual analog scale for measurement of acute pain,Yang                    Junyi,3,,2001,,Wollongong Joint Institute Central China Normal University,,PMC7346327, ,
research-article,Chen,,Bioscience Reports,1573-4935,Portland Press Ltd.,"39, 46, 45",Nuclear factor-kappaB in cancer development and progression,Li                    Zaiyu,6,,2006,,,,PMC6522714, ,
research-article,Vu                 Alexander,,Conflict and Health,1752-1505,Geneva: UN OCHA Research Meeting,Research,"Sexual and gender based violence against men in the Democratic Republic of Congo: effects on survivors, their families and the community",Wirtz                    Andrea L,7,,2008,,,,PMC3695841, ,
research-article,He                 Jufang,,Scientific Reports,2045-2322,Nature Publishing Group,Article,An economic method to build a puffing instrument for drug application,Wang                    Haitao,8,,2015,,Department of Biomedical Sciences City University of Hong Kong Tat Chee Avenue Kowloon,,PMC4738270, ,China
research-article,Murataka                 Takuo,,The International Journal of Artificial Organs,1724-6040,SAGE Publications,Biomaterials and Nanotechnology,In vitro and ex vivo blood compatibility study of 2-methacryloyloxyethyl phosphorylcholine (MPC) copolymer-coated hemodialysis hollow fibers,Tagaya                    Masashi,7,,2003,"Policy-Based Medical Services Foundation, Japan",Policy-Based Medical Services Foundation Japan,,PMC6343425, ,
research-article,Mawatari                 Masaaki,,Pain and Therapy,2193-651X,The Rome Foundation,Original Research,The limitations of online surveys,Sonohata                    Motoki,6,,2020,"Shionogi & Co., Ltd.",Shionogi & Co. Ltd.,,PMC9314494, ,
research-article,Samuel                 Michael D.,,The Journal of Applied Ecology,1365-2664,"Gen. Tech. Rep. PNW‐GTR‐654. U.S. Department of Agriculture, Forest Service, Pacific Northwest Research Station",Special Profile: New perspectives on managing wildlife diseases,An age structured population model of citrus rust mite: a fruit‐mite‐fungal pathogen system,Wasserberg                    Gideon,4,,1997,,,,PMC2695855, ,
research-article,Xu                 Bin,,OncoTargets and therapy,1178-6930,Dove Medical Press,Original Research,Lentivirus-mediated downregulation of MAT2B inhibits cell proliferation and induces apoptosis in melanoma,Luan                    Wenkang,9,,2016,,,,PMC5338948, ,
research-article,Chu                 YiFang,,Journal of Nutritional Science,2048-6790,CABI,Human and Clinical Nutrition,Glycaemic responses to glucose and rice in people of Chinese and European ethnicity,Wolever,9,,2013,"PepsiCo, http://dx.doi.org/10.13039/100004396, n/a",PepsiCo,n/a,PMC8943571, ,USA
research-article,Ossowski                 Stephan,,Human Mutation,1098-1004,John Wiley and Sons Inc.,Methods,Extensive sequencing of seven human genomes to characterize benchmark reference materials,Muyas                    Francesc,11,,2016,"European Union's H2020 Research and Innovation Programme, 635290 (PanCanRisk), CERCA Programme / Generalitat de Catalunya, CRG emergent translational research award, MINECO Severo Ochoa fellowship, SVP-2013-0680066, PERIS program, SLT002/16/00310, Spanish Ministry of Economy and Competitiveness, ‘Centro de Excelencia Severo Ochoa 2017-2021’, SEV-2016-0571",University of Barcelona,SEV-2016-0571,PMC6587442, ,Spain
research-article,Huang                 Xiaoying,,Computational and Structural Biotechnology Journal,2001-0370,Research Network of Computational and Structural Biotechnology,Research Article,Resistance to radiotherapy and PD-L1 blockade is mediated by TIM-3 upregulation and regulatory T-cell infiltration,Wang                    Ning,5,,2018,,,,PMC9403504, ,
research-article,Cravatt                 Benjamin F.,,Nature chemical biology,1552-4469,,Article,Sulforhodamine B colorimetric assay for cytotoxicity screening.,Lanning                    Bryan R.,18,,2006,,,,PMC4138289, ,
research-article,Ihunwo,,The South African Journal of Physiotherapy,2410-8219,Springer,Original Research,Mastering cadaveric dissection and engaging students: How to become “an amazing asset” to students in the dissection laboratory,Shead,4,,2017,,,,PMC6676954, ,
research-article,Papaccio                 Gianpaolo,,PLoS ONE,1932-6203,Public Library of Science,Cell Differentiation,Acceptance letter,Caseiro,13,,2016,"This research was supported by Programa Operacional Regional do Norte (ON.2 – O Novo Norte), QREN, FEDER with the project “iBone Therapies: Terapias inovadoras para a regeneração óssea”, ref. NORTE-01-0247-FEDER-003262, and by the program COMPETE – Programa Operacional Factores de Competitividade, Projects PEst-OE/AGR/UI0211/2011 and PEst-C/EME/UI0285/2013 funding from FCT. This research was also supported by Programa Operacional Competitividade e Internacionalização (P2020), Fundos Europeus Estruturais e de Investimento (FEEI) and FCT with the project “BioMate – A novel bio-manufacturing system to produce bioactive scaffolds for tissue engineering” with reference PTDC/EMS-SIS/7032/2014 and by COMPETE 2020, from ANI – Projetos ID&T Empresas em Copromoção, Programas Operacionais POCI, by the project “insitu.Biomas - Reinvent biomanufacturing systems by using an usability approach for in situ clinic temporary implants fabrication” with the reference POCI-01-0247-FEDER-017771. This work received further financial support from the framework of QREN through Project NORTE-07-0124-FEDER-000066. The Bruker Avance III 600 HD spectrometer was purchased under the framework of QREN, through Project NORTE-07-0162-FEDER-000048 and is part of the Portuguese NMR Network created with support of FCT through Contract REDE/1517/RMN/2005, with funds from POCI 2010 (FEDER). Ana Rita Caseiro (SFRH/BD/101174/2014) acknowledges FCT, for financial support. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC6881058, ,
research-article,Calicchio                 Giuseppe,,BMC Geriatrics,1471-2318,BioMed Central,Research,"Effectiveness of mRNA COVID-19 vaccines in preventing SARS-CoV-2 infections and COVID-19 hospitalisations and deaths in elderly long-term care facility residents, Spain, weeks 53 2020 to 13 2021",Caimi                    Barbara,10,,2021,,University of Milan and IRCCS Istituto Ortopedico Galeazzi,,PMC8908300, ,
research-article,Liu,,Cancer Cell International,1475-2867,BioMed Central,Primary Research,PBX3 is overexpressed in gastric cancer and regulates cell proliferation,Lu                    Yizhuo,5,,2014,"Special Project for Marine Economic Development of Xiamen City, No.17GYY001NF01, Liu, Guoyan",Special Project for Marine Economic Development of Xiamen City,No.17GYY001NF01,PMC8127237, ,
research-article,Polakowska                 Renata,,Cell Communication and Signaling : CCS,1478-811X,Humana Press,Research,UV-induced apoptosis in skin equivalents: inhibition by phorbol ester and Bcl-2 overexpression,Ostyn                    Pauline,11,,1995,,,,PMC4172864, ,
research-article,Kondo                 Katsunori,,Journal of Epidemiology,1349-9092,Japan Epidemiological Association,Social Epidemiology,Causal inference from observational data,Tamada,7,,2016,"Japan Agency for Medical Research and Development, JP17dk0110027, Japan Agency for Medical Research and Development, JP18dk0110027, Japan Agency for Medical Research and Development, JP18le0110009, Japan Agency for Medical Research and Development, JP18ls0110002, Japan Agency for Medical Research and Development, JP19dk0110034, Japan Agency for Medical Research and Development, JP19dk0110037, National Center for Geriatrics and Gerontology, 20-19, National Center for Geriatrics and Gerontology, 24-17, National Center for Geriatrics and Gerontology, 24-23, National Center for Geriatrics and Gerontology, 29-42, National Center for Geriatrics and Gerontology, 30-22, National Center for Geriatrics and Gerontology, 30-30, Japan Society for the Promotion of Science, 15H01972, Japan Society for the Promotion of Science, 15H04781, Japan Society for the Promotion of Science, 15H05059, Japan Society for the Promotion of Science, 15K03417, Japan Society for the Promotion of Science, 15K03982, Japan Society for the Promotion of Science, 15K16181, Japan Society for the Promotion of Science, 15K17232, Japan Society for the Promotion of Science, 15K18174, Japan Society for the Promotion of Science, 15K19241, Japan Society for the Promotion of Science, 15K21266, Japan Society for the Promotion of Science, 15KT0007, Japan Society for the Promotion of Science, 15KT0097, Japan Society for the Promotion of Science, 16H05556, Japan Society for the Promotion of Science, 16K00913, Japan Society for the Promotion of Science, 16K02025, Japan Society for the Promotion of Science, 16K09122, Japan Society for the Promotion of Science, 16K12964, Japan Society for the Promotion of Science, 16K13443, Japan Society for the Promotion of Science, 16K16295, Japan Society for the Promotion of Science, 16K16595, Japan Society for the Promotion of Science, 16K16633, Japan Society for the Promotion of Science, 16K17256, Japan Society for the Promotion of Science, 16K17281, Japan Society for the Promotion of Science, 16K19247, Japan Society for the Promotion of Science, 16K19267, Japan Society for the Promotion of Science, 16K21461, Japan Society for the Promotion of Science, 16K21465, Japan Society for the Promotion of Science, 16KT0014, Japan Society for the Promotion of Science, 17K04305, Japan Society for the Promotion of Science, 17K04306, Japan Society for the Promotion of Science, 17K34567, Japan Society for the Promotion of Science, 18H00953, Japan Society for the Promotion of Science, 18H00955, Japan Society for the Promotion of Science, 18H03018, Japan Society for the Promotion of Science, 18H03047, Japan Society for the Promotion of Science, 18H04071, Japan Society for the Promotion of Science, 18KK0057, Japan Society for the Promotion of Science, 19H03860, Japan Society for the Promotion of Science, 19H03901, Japan Society for the Promotion of Science, 19H03915, Japan Society for the Promotion of Science, 19K04785, Japan Society for the Promotion of Science, 19K10641, Japan Society for the Promotion of Science, 19K11657, Japan Society for the Promotion of Science, 19K19455, Japan Society for the Promotion of Science, 19K19818, Japan Society for the Promotion of Science, 19K20909, Japan Society for the Promotion of Science, 19K24060, Japan Society for the Promotion of Science, 25253052, Japan Society for the Promotion of Science, 25713027, Japan Society for the Promotion of Science, 26285138, Japan Society for the Promotion of Science, 26460828, Japan Society for the Promotion of Science, 26780328, 8020 Promotion Foundation, adopted number: 19-2-06, Japan Foundation for Aging and Health, J09KF00804, Innovative Research Program on Suicide Countermeasures, 1-4, Japan Science and Technology Agency, OPERA，JPMJOP1831, Niimi University, 1915010, Ministry of Health, Labour and Welfare, 18H04071, Ministry of Health, Labour and Welfare, 19FA1012, Ministry of Health, Labour and Welfare, 19FA2001, Ministry of Health, Labour and Welfare, H26-Choju-Ippan-006, Ministry of Health, Labour and Welfare, H27-Ninchisyou-Ippan-001, Ministry of Health, Labour and Welfare, H28-Choju-Ippan-002, Ministry of Health, Labour and Welfare, H28-Ninchisyou-Ippan-002, Ministry of Health, Labour and Welfare, H29-Chikyukibo-Ippan-001, Ministry of Health, Labour and Welfare, H30-Jyunkankinado-Ippan-004",,H30-Jyunkankinado-Ippan-004,PMC8021882, ,
research-article,Morganstern,,ISRN Gastroenterology,2090-4401,Hindawi Publishing Corporation,Research Article,Effects of dexmedetomidine and propofol on lower esophageal sphincter and gastroesophageal pressure gradient in healthy volunteers,Chawla                    Anupama,6,,2010,,,,PMC3654235, ,
research-article,Hooman                 Nakysa,,Medical Journal of the Islamic Republic of Iran,2251-6840,Iran University of Medical Sciences,Original Article,Validity and reliability of pediatric lower urinary tract scoring system for Iranian children,Hooman                    Nakysa,1,,2011,,,,PMC3917488, ,
research-article,Zeng,,BioMed Research International,2314-6141,Hindawi,Research Article,Triiodothyronine stimulates cystatin C production in bone cells,Wu,5,,2012,"National Natural Science Foundation of China, 81873630, 81974087",,81974087,PMC9283046, ,
research-article,Nakagaki                 Toshiyuki,,Scientific Reports,2045-2322,Brill,Article,The development of cities in Italy: 1300–1861,Aoki                    Takaaki,4,,2007,"Ministry of Education, Culture, Sports, Science and Technology of Japan",Ministry of Education Culture Sports Science and Technology of Japan,RGP0053/2012,PMC9203770, ,
research-article,Atzmon                 Gil,,Genes,2073-4425,Genomics England,Article,Opportunities and Challenges for Machine Learning in Rare Diseases,Kerr,15,,2021,"Medical Research Council, MC_PC_16018, K.K. was supported by a Department for the Economy Co-operative Awards in Science and Technology (DfE-CAST) studentship award with Belfast Health and Social Care Trust. C.B. and A.C. were in receipt of a DfE PhD studentship award. Funding support was provided by the Medical Research Council (MC_PC_16018)—Northern Ireland Executive support of the Northern Ireland Genomic Medicine Centre though Belfast Health and Social Care Trust.",,MC_PC_16018,PMC9316942, ,
research-article,Steiropoulos,,Cardiology Research and Practice,2090-0597,American Academy of Sleep Medicine,Research Article,Mapping the expanded often inappropriate use of the Framingham Risk Score in the medical literature,Archontogeorgis                    Kostas,11,,2014,"Institute for the Research, Education, Prevention and Treatment of Respiratory and Sleep Disorders",,,PMC5863345, ,
research-article,Li                 Xingxing,,International Journal of Molecular Medicine,1791-244X,D.A. Spandidos,Articles,Notch signaling in cardiac development,Liu                    Yanhua,8,,2008,,,,PMC5466396, ,
research-article,Estrada                 Ernesto,,Journal of Complex Networks,2051-1329,Cambridge University Press,AcademicSubjects/SCI00010,An action plan for pan-European defence against new SARS-CoV-2 variants,Hâncean,8,,2021,"Executive Unit for Financing Higher Education, Research, Deutsche Forschungsgemeinschaft (DFG), 321869138, Slovenian Research Agency, 10.13039/501100004329",Slovenian Research Agency,321869138,PMC8499891,"Males were coded by 1 and females by 2, so thatabs_diff_sexis the ratio of contacts that have a different sex than P. Additionally, we also accounted for the average age (avg_age) in the set of contacts as well as for the average sex (avg_sex) in the contact set of each hyperevent.",
research-article,Nakai                 Kenta,,DNA Research: An International Journal for Rapid Publication of Reports on Genes and Genomes,1756-1663,Oxford University Press,"AcademicSubjects/MED00774, AcademicSubjects/SCI01140",DNA-methylation: master or slave of neural fate decisions?,Lee                    Jong-Hun,4,"Department of Computational Biology and Medical Sciences,",2018,"Japan Society for the Promotion of Science, 10.13039/501100001691, 16H01403, 18H04710, 17H06410, 19K20409, 19K06502, 19K06077, 20K06606",Japan Society for the Promotion of Science,20K06606,PMC7750974, ,Japan
research-article,Atta                 Hazem,,International Journal of General Medicine,1178-7074,Springer,Original Research,"Association between GSTM1, GSTT1, and GSTP1 variants and the risk of end stage renal disease",Albeladi                    Fatma I,4,,2016,"funded by the Deanship of Scientific Research, King Abdulaziz University, 10.13039/501100004054, DSR for technical and financial support, This project was funded by the Deanship of Scientific Research (DSR) at King Abdulaziz University, Jeddah (grant number G:1303-828-1440). The authors acknowledge DSR for technical and financial support.",DSR for technical and financial support,,PMC9255407, ,Saudi Arabia
